Sorting with PQ: <#iteration,time/ms>
1,2539
2,2534
3,2522
4,2502
5,2486
6,2497
7,2488
8,2504
9,2499
10,2492
11,2605
12,2496
13,2498
14,2519
15,2608
16,2498
17,2501
18,2496
19,2498
20,2505
21,2497
22,2482
23,2533
24,2491
25,2516
26,2545
27,2534
28,2490
29,2513
30,2497
31,2504
32,2493
33,2507
34,2497
35,2524
36,2503
37,2502
38,2502
39,2522
40,2542
41,2521
42,2523
43,2502
44,2568
45,2582
46,2491
47,2511
48,2579
49,2564
50,2508
51,2499
52,2541
53,2597
54,2481
55,2486
56,2519
57,2516
58,2489
59,2512
60,2511
61,2548
62,2499
63,2508
64,2480
65,2506
66,2530
67,2483
68,2517
69,2574
70,2506
71,2511
72,2544
73,2516
74,2517
75,2500
76,2514
77,2543
78,2506
79,2515
80,2538
81,2500
82,2495
83,2576
84,2519
85,2508
86,2527
87,2516
88,2534
89,2509
90,2523
91,2516
92,2474
93,2494
94,2496
95,2485
96,2527
97,2558
98,2531
99,2481
100,2598
Sorting with sort.Ints: <#iteration,time/ms>
1,963
2,969
3,968
4,964
5,975
6,964
7,972
8,961
9,975
10,962
11,968
12,967
13,965
14,967
15,965
16,971
17,972
18,1007
19,970
20,965
21,1002
22,968
23,968
24,962
25,969
26,972
27,971
28,963
29,975
30,970
31,977
32,1000
33,965
34,964
35,960
36,1002
37,974
38,965
39,967
40,968
41,964
42,972
43,967
44,963
45,968
46,965
47,968
48,966
49,966
50,966
51,965
52,961
53,960
54,967
55,957
56,976
57,1002
58,968
59,968
60,967
61,963
62,974
63,963
64,964
65,977
66,966
67,971
68,961
69,1001
70,964
71,977
72,963
73,969
74,1001
75,966
76,963
77,968
78,1001
79,968
80,972
81,963
82,962
83,963
84,979
85,963
86,968
87,969
88,968
89,966
90,969
91,969
92,964
93,964
94,961
95,965
96,967
97,965
98,970
99,978
100,964
